concept	facet	property
air traffic control procedure	steps	communication
air traffic control procedure	step	landing
air traffic control procedure	step	clearance
air traffic control procedure	responsibilities	aircraft operators
air traffic control procedure	step	approach
air traffic control procedure	responsibilities	assign flight paths
air traffic control procedure	responsibilities	aircraft separation
air traffic control procedure	responsibilities	directing aircraft
air traffic control procedure	responsibilities	separation of aircraft
air traffic control procedure	responsibilities	air traffic controller
air traffic control procedure	responsibilities	aircraft manufacturers
air traffic control procedure	involved parties	pilot
air traffic control procedure	system components	radar
air traffic control procedure	location	airport
air traffic control procedure	system components	ads-b
air traffic control procedure	goal	safety
air traffic control procedure	system components	flight management system
air traffic control procedure	regulations governed	easa
air traffic control procedure	responsibility	issuing clearances
air traffic control procedure	regulations governed	icao
air traffic control procedure	standards	icao regulations
air traffic control procedure	standards	faa guidelines
air traffic control procedure	elements	aircraft separation
air traffic control procedure	standards	industry best practices
air traffic control procedure	involved parties	controllers
air traffic control procedure	standards	standard phraseology
air traffic control procedure	elements	weather forecasting
air traffic control procedure	regulations governed	faa
air traffic control procedure	location	aircraft
air traffic control procedure	regulations and guidelines	faa guidelines
air traffic control procedure	elements	traffic flow
air traffic control procedure	goal	efficiently manage air traffic
air traffic control procedure	location	airspace
air traffic control procedure	goal	efficiency
air traffic control procedure	goal	ensure safe and efficient flight operations
