person	 male or female 
delegate	 roles in a democratic system 
delegation	 transfer 
delight	 pleasure 
delivery	 transport 
delta	 types of rivers 
demand	 requests 
democracy	 forms of government 
democrat	 types of political ideologies 
demonstration	 events 
density	 properties of liquids 
department store	 shopping destinations 
departure	 departure 
dependence	 drug addiction 
deployment	 starting 
deportation	 removals 
deposit	 investments 
depot	 used for storing goods 
depression	 diseases 
deputy	 positions of authority 
derby	 types of horse races 
descent	 movement 
description	 parts of a story 
desert	 types of terrain 
design	 elements of interior design 
designation	 assignments 
designer	 professions 
designer label	 labels 
design pattern	 patterns 
desire	 wants 
desktop	 computer types 
desktop computer	 types of computers 
desktop environment	 part of a computer system 
destination	 places to visit 
destroyer	 warships 
destruction	 killing 
detail	 components of a novel 
detection	 discovery 
detective	 types of crime stories 
detention	 punishment 
deterioration	 decrease 
determination	 positions 
developer	 components of photography 
development	 cause a desire to buys 
device	 used for playing video games 
device driver	 programs 
devil	 fictional characters 
diabetes	 chronic diseases 
diagnosis	 medical procedures 
dialect	 speech patterns 
dialogue	 components of a play 
diameter	 properties of a circle 
diamond	 types of precious stones 
diary	 used for writing and recording 
dictator	 authoritarian 
dictatorship	 types of government 
dictionary	 reference books 
dictionary form	 abbreviated to dic 
diesel engine	 types of engines 
diet	 dietary habits 
difference	 variety 
difficulty	 problems 
digit	 part of a computer 
digital camera	 photography tools 
digital library	 types of libraries 
dignity	 principles 
dimension	 properties of space 
dining	 types of rooms in a house 
dinner	 types of meals 
diocese	 part of a church 
dip	 used for dipping 
diploma	 educational documents 
diplomacy	 foreign policy 
diplomat	 professions related to international relations 
direction	 part of navigation 
directive	 part of a process 
dirt	 materials used for making bricks 
disability	 impairments 
disappearance	 disappearance 
disappointment	 depression 
disarmament	 reform 
disaster	 unpleasant 
disc	 types of music 
discharge	 discharge 
discipline	 control 
disclosure	 statements 
discount	 savings 
discount store	 types of retail stores 
discovery	 discoveries 
discrimination	 prejudice 
discussion	 conversations 
dish	 used for serving food 
disk	 types of storage devices 
disorder	 chaos 
display	 part of a television 
disposal	 disposals 
dispute	 arguments 
disruption	 interruptions 
dissident	 disloyal 
distance	 dispositions 
distance learning	 education 
distinction	 separation 
distress	 situations 
distribution	 spread 
distributor	 components of an electric power system 
district	 geographical divisions 
divide	 divisions 
divine	 supernatural 
diving	 cause dizziness 
diving suit	 essential for diving 
division	 part of multiplication 
dock	 used for mooring boats 
doctorate	 types of degrees 
doctrine	 teaching 
document	 printed materials 
documentary	 types of movies 
documentation	 information 
dog	 pets 
doll	 types of toys 
domain	 types of web addresses 
domain name	 types of internet addresses 
dome	 architectural features 
domination	 control 
donna	 female names 
donor	 types of organ donation 
dose	 part of medical diagnosises 
dot	 types of punctuation marks 
double act	 performing arts 
double agent	 spy 
double star	 one of two stars in a binary star system 
doubt	 unhappiness 
downtown	 types of urban areas 
downturn	 economic conditions 
dozen	 groups 
draft	 types of beer 
dragon	 mythical creatures 
drag queen	 performers 
drag racing	 racing 
drain	 used for waste disposal 
drainage	 removals 
drama	 types of television genres 
draw	 strokes 
drawing	 visual art forms 
dream	 sleeping 
dress	 clothing items 
dress code	 dress codes 
drill	 used for drilling 
drink	 located in bars 
drinking	 cause vomiting 
drinking game	 used for fun 
drive	 types of roads 
driver	 part of a golf setup 
drop	 movement 
drug dealer	 types of criminal activity 
drug lord	 one of most dangerous criminals 
drum	 used for playing music 
drummer	 musical instruments 
dry lake	 lake 
duck	 found in a pond 
duke	 types of noblemen 
dump	 trash cans 
duo	 types of musical performances 
duration	 time periods 
dust	 located in houses 
duty	 responsibility 
dynamics	 aspects of music 
dynasty	 video games 
eagle	 animals found in the wild 
earth	 used for growing plants 
earthquake	 natural disasters 
earth science	 science 
ease	 comfort 
east	 compass directions 
easy listening	 music genres 
eating	 used for enjoyment 
eating disorder	 mental disorder 
ecology	 science 
economic capital	 capital 
economics	 disciplines 
economist	 related to finance 
economy	 systems 
economy car	 types of cars 
edge	 parts of a shape 
editing	 parts of writing 
edition	 part of a book publishing process 
editor	 professions in publishing 
editorial	 types of news articles 
effect	 impact 
effectiveness	 quality 
effort	 work 
egg	 food items 
elder	 trees with edible fruit 
electoral district	 districts 
electorate	 voters 
electrical circuit	 circuits 
electrical contact	 contact 
electrical engineering	 engineering 
electric car	 types of cars 
electric charge	 part of electricity 
electric circuit	 circuit 
electric guitar	 used for playing guitar 
electric guitarist	 musical instruments 
electricity	 located in power plants 
electronic game	 electronic 
electronics	 located in electronics stores 
element	 parts of a periodic table 
elementary school	 types of schools 
elephant	 found in the african savanna 
elevation	 rise 
elevator	 ways to access different levels of a building 
eleven	 one more than ten 
elite	 more skilled than average 
email	 types of communication 
embargo	 trade restrictions 
emergence	 arrival 
emergency	 types of medical conditions 
emergency service	 emergency services 
emission	 radiation 
emotion	 part of human experience 
emperor	 royalty 
emphasis	 part of speech 
empire	 types of political systems 
employee	 roles in an organization 
employee benefit	 benefit 
employer	 business people 
employment	 used for job searchs 
empress	 types of monarchs 
enclave	 enclosure 
encounter	 confrontation 
encouragement	 positive feedback 
end	 points 
ending	 aspects of a story 
enemy	 adversaries 
energy	 power 
energy drink	 types of beverages 
energy source	 part of a car's engine 
enforcement	 control 
engagement	 relationships 
engine	 parts of a car 
engineering	 fields of study 
english	 languages 
enlargement	 increases 
enrichment	 improvement 
ensemble	 performing arts groups 
enterprise	 business 
entertainment	 cause laughs 
entertainment center	 part of a home theater setup 
enthusiasm	 passion 
entrance	 located in front doors 
entrance examination	 examinations 
entrepreneur	 business roles 
entry	 located in front doors 
environment	 conditions 
environmental scientist	 scientists 
envoy	 ambassador 
enzyme	 proteins 
epic	 types of literature 
episode	 parts of a television series 
equation	 mathematical symbols 
equipment	 used for sports 
equity	 financial terms 
equivalent	 same as 
era	 time periods 
erosion	 wear 
error	 failure 
eruption	 discharge 
escape	 cause a desire to leaves 
escort	 vessels 
espionage	 criminal acts 
essay	 types of writing 
essence	 part of perfume 
essential oil	 aromatherapy 
establishment	 startings 
estate	 types of properties 
estate agent	 professions in real estate 
estimate	 judgment 
eternal life	 life 
ethanol	 organic compounds 
ethics	 moral principles 
ethnic minority	 human being 
evacuation	 moves 
evaluation	 judgment 
eve	 first names 
evening	 time of day 
evidence	 used for conviction 
evil	 used for destruction 
evolution	 natural processes 
examination	 investigations 
example	 used for illustration 
excellence	 goodness 
excess	 increases 
exchange	 transfer 
exclusion	 exclusion 
execution	 performance 
executive	 types of business roles 
executive branch	 branches of government 
executive mansion	 abbreviated to white house 
executive officer	 officers 
executive producer	 producer 
exercise	 cause sweat 
exhibit	 types of museum displays 
exhibition	 exhibits 
exile	 emigration 
existence	 one of many aspects of life 
expansion	 expansion 
expansion pack	 used for playing games 
expectation	 future 
expedition	 journeys 
expenditure	 cost 
expense	 cost 
experience	 causes a desire to tries 
experiment	 scientific methods 
expert	 more knowledgeable than others 
explanation	 explanation 
exploitation	 taking 
exploitation film	 types of movies 
