disagreement	skepticism, unanimity, hesitation, division, opposition	difference in opinion, lack of consensus, conflict of views, reservation
soccer field	rectangular shape	grass or turf surface, goalposts at each end, sidelines and end lines, size: 120-125 yards long, pitch center circle, size: 70-75 yards wide, soccer ball, players and referee
programme	target audience: general public	definition: a series of events or activities, types: tv, radio, live events, components: schedule, content, production, goals: entertain, educate, inform, mediums: tv, radio, online, format: variety, news, sports, documentaries, length: various, production: studio, location, post-production, distribution: broadcast, streaming, theatrical release
cricket	running, fielding, teams, ball	bat, wicket, stumps, bowling, scoring, matches
flight plan	departure, airline, arrival, passengers, seats, route, destination, weight, time	baggage
contractor	good communication skills, ability to work well under pressure	expertise in construction, ability to manage projects, knowledge of building codes, access to necessary tools and materials, ability to hire and manage subcontractors, experience with budgeting and cost estimation, reliability and dependability, knowledge of local building regulations
irrigation	water conservation, cost-benefit analysis, environmental impact, sustainability	water supply, soil moisture, crop demand, water distribution, irrigation methods
argentine	south american country	bordered by chile and bolivia, home to patagonia region, known for beef and wine production, formerly spanish colony, largest city: buenos aires, dollar as official currency, famous for tango dance, historic city: cordoba, unesco world heritage site: iguazu falls
credit score	credit report, new credit, credit age, credit history, credit utilization, payment history, credit mix, credit inquiries, public records	
war grave	date of death, nationality, age, gender, location	identified remains, cause of death, rememberance
tanker	requires specialized equipment for loading and unloading, subject to various safety regulations	carries large quantities of liquid cargo, typically used for transporting oil or gas, has a large capacity for storage, designed for long-distance transportation, usually has multiple compartments, must be designed for stability and buoyancy, may be used for other purposes such as chemical transport
